0;0
0,05;0,0399
0,1;0,0797
0,15;0,1192
0,2;0,1585
0,25;0,1974
0,3;0,2357
0,35;0,2737
0,4;0,3108
0,45;0,3473
0,5;0,3829
0,55;0,4177
0,6;0,4515
0,65;0,4843
0,7;0,5161
0,75;0,5467
0,8;0,5763
0,85;0,6047
0,9;0,6319
0,95;0,6579
1;0,6827
1,05;0,7063
1,1;0,7287
1,15;0,7499
1,2;0,7699
1,25;0,7887
1,3;0,8064
1,35;0,823
1,4;0,8385
1,45;0,8529
1,5;0,8664
1,55;0,8789
1,6;0,8904
1,65;0,9011
1,7;0,9109
1,75;0,9199
1,8;0,9281
1,85;0,9357
1,9;0,9426
1,95;0,9488
2;0,9545
2,05;0,9596
2,1;0,9643
2,15;0,9684
2,2;0,9722
2,25;0,9756
2,3;0,9786
2,35;0,9812
2,4;0,9836
2,45;0,9857
2,5;0,9876
2,55;0,9892
2,6;0,9907
2,65;0,992
2,7;0,9931
2,75;0,994
2,8;0,9949
2,85;0,9956
2,9;0,9963
2,95;0,9968
3;0,9973
3,1;0,9981
3,2;0,9986
3,3;0,99904
3,4;0,99932
3,5;0,99954
3,6;0,99968
3,7;0,99978
3,8;0,99986
3,9;0,9999
4;0,999936
4,5;0,999994
5;0,9999994
